Name,Common_name,Taxon_id,Latitude,Longitude,Group
Cystolepiota sistrata,,790324,49.5,-119.6,Macrofungi
Disciseda bovista,,350687,49.5,-119.6,Macrofungi
Disciseda cervina,,350690,49.5,-119.6,Macrofungi
Disciseda subterranea,,705797,49.5,-119.6,Macrofungi
Echinoderma rubellum,,,49.5,-119.6,Macrofungi
Lepiota apatelia,,1441205,49.5,-119.6,Macrofungi
Lepiota asperula,,344529,49.5,-119.6,Macrofungi
Lepiota boudieri,girdled dapperling,803037,49.5,-119.6,Macrofungi
Lepiota clypeolarioides,,1593360,49.5,-119.6,Macrofungi
Lepiota earlei,,,48.5263,-123.422,Macrofungi
Lepiota echinella,,542717,45.429761,-72.616506,Macrofungi
Lepiota griseovirens,,500165,48.5262,-123.4,Macrofungi
Lepiota helveola,,797907,49.5,-119.6,Macrofungi
Lepiota hymenoderma,,1305178,49.5,-119.6,Macrofungi
Lepiota metulispora,,1538889,50.0,-86.0,Macrofungi
Lepiota oreadiformis,,824763,49.5,-119.6,Macrofungi
Lepiota pallida,,180515,48.5262,-123.4,Macrofungi
Lepiota pseudofelina,,1576133,49.5,-119.6,Macrofungi
Lepiota roseifolia,,1204326,49.5,-119.6,Macrofungi
Lepiota subgracilis,,875084,49.5,-119.6,Macrofungi
Lepiota tomentella,,875085,48.5262,-123.4,Macrofungi
Leucoagaricus brunneolilacinus,,,45.509625,-73.662984,Macrofungi
Leucoagaricus carneifolius,,875087,49.5,-119.6,Macrofungi
Leucoagaricus cinerascens,,1472610,49.5,-119.6,Macrofungi
Leucoagaricus erioderma,,,51.035793,-114.159943,Macrofungi
Leucoagaricus griseodiscus,,1595452,49.5,-119.6,Macrofungi
Leucoagaricus sericifer,,948305,49.5,-119.6,Macrofungi
Macrolepiota mastoidea,Slender Parasol,351447,49.5,-119.6,Macrofungi
Macrolepiota prominens,,125759,45.393333,-74.215833,Macrofungi
Melanopsamma subfasciculata,,,49.5,-119.6,Macrofungi
Melanopsamma suecica,,,49.5,-119.6,Macrofungi
Podaxis pistillaris,Desert Shaggymane,57883,49.5,-119.6,Macrofungi
Tulostoma albicans,Bleaching Stalked Puffball,352646,49.5,-119.6,Macrofungi
Tulostoma beccarianum,,352648,49.5,-119.6,Macrofungi
Tulostoma campestre,,,45.664878,-74.292134,Macrofungi
Tulostoma granulosum,,,49.5,-119.6,Macrofungi
Tulostoma melanocyclum,Scaly Stalk-puffball,352660,49.5,-119.6,Macrofungi
Tulostoma obesum,,352663,49.5,-119.6,Macrofungi
Tulostoma punctatum,,1429025,49.5,-119.6,Macrofungi
Tulostoma pygmaeum,,352669,49.5,-119.6,Macrofungi
Tulostoma rufum,,1362957,49.5,-119.6,Macrofungi
Tulostoma tuberculatum,,,49.5,-119.6,Macrofungi
Amanita agglutinata,The Bookbinder Amanita,973841,44.379167,-65.2875,Macrofungi
Amanita alba,,,53.103889,-131.930556,Macrofungi
Amanita baccata,,499605,49.5,-119.6,Macrofungi
Amanita battarrae,Gray-Zoned Ringless Amanita,363601,45.759859,-78.376465,Macrofungi
Amanita chlorinosma,Chlorine Lepidella,350034,49.5,-119.6,Macrofungi
Amanita contui,,1562405,45.991383,-74.012631,Macrofungi
Amanita elongatior,,1596677,49.5,-119.6,Macrofungi
Amanita excelsa,European False Blusher,119999,49.23,-122.9,Macrofungi
Amanita franchetii,Franchet's Amanita,118396,48.3875,-123.867,Macrofungi
Amanita magna,,1596667,49.5,-119.6,Macrofungi
Amanita morrisii,Morris' Amanita,499963,49.5,-119.6,Macrofungi
Amanita nivalis,,1558548,56.219,-62.777111,Macrofungi
Amanita parcivolvata,False Caesar's Mushroom,500030,49.5,-119.6,Macrofungi
Amanita peckiana,,504585,45.896219,-76.221931,Macrofungi
Amanita persicina,Peach-Colored Fly Agaric,504587,49.5,-119.6,Macrofungi
Amanita regalis,Royal fly agaric,464151,49.5,-119.6,Macrofungi
Amanita strobiliformis,European Pine Cone Lepidella,350061,49.5,-119.6,Macrofungi
Amanita subcitriniceps,,,44.681944,-63.744167,Macrofungi
Amanita verna,Fool's Mushroom,58684,49.5,-119.6,Macrofungi
Amanita volvata,American Amidella,194267,49.5,-119.6,Macrofungi
Limacella delicata,,118251,45.489925,-74.099816,Macrofungi
Limacella megalopoda,,,48.928056,-80.8775,Macrofungi
Limacella solidipes,Ringed limacella,346052,48.4206,-68.589233,Macrofungi
Amyloathelia amylacea,,381229,45.577222,-78.479547,Macrofungi
Amylocorticium canadense,,1144746,49.5,-119.6,Macrofungi
Amylocorticium subsulphureum,,884909,49.5,-119.6,Macrofungi
Amyloxenasma rallum,,,44.0,-79.466667,Macrofungi
Anomoloma albolutescens,,350089,49.5,-119.6,Macrofungi
Anomoporia bombycina,,874898,49.5,-119.6,Macrofungi
Ceraceomyces borealis,,988654,44.45546,-63.61614,Macrofungi
Ceraceomyces crispatus,,,49.333333,-88.866667,Macrofungi
Ceraceomyces eludens,,1155908,49.5,-119.6,Macrofungi
Ceraceomyces microsporus,,988653,49.5,-119.6,Macrofungi
Ceraceomyces sublaevis,,988652,49.5,-119.6,Macrofungi
Ceraceomyces tessulatus,,988651,49.5,-119.6,Macrofungi
Bolbitius expansus,,,49.5,-119.6,Macrofungi
Conocybe aberrans,,1442168,48.368277,-71.119642,Macrofungi
Conocybe aporos,Nonpored Conecap,874938,54.091667,-119.783333,Macrofungi
Conocybe blattaria,Cockroach Conecap,518903,54.008333,-119.716667,Macrofungi
Conocybe brunneola,Brownish Conecap,986113,48.5262,-123.4,Macrofungi
Conocybe bulbifera,,,49.5,-119.6,Macrofungi
Conocybe dumetorum,copse conecap,748622,49.5,-119.6,Macrofungi
