Name,Common_name,Taxon_id,Latitude,Longitude,Group
Cinygmula gartrelli,,217020,49.5,-119.6,Mayflies
Cinygmula kootenai,,217021,51.42,-116.42,Mayflies
Cinygmula mimus,,217022,49.5,-119.6,Mayflies
Cinygmula par,,217023,51.315647,-116.151213,Mayflies
Cinygmula ramaleyi,,217024,49.5,-119.6,Mayflies
Cinygmula tarda,,217027,51.166667,-115.55,Mayflies
Cinygmula uniformis,,217029,49.5,-119.6,Mayflies
Ecdyonurus criddlei,,218872,49.5,-119.6,Mayflies
Ecdyonurus simplicioides,,218873,49.5,-119.6,Mayflies
Epeorus dulciana,,219241,49.5,-119.6,Mayflies
Epeorus longimanus,,219247,62.28249,-136.30608,Mayflies
Epeorus permagnus,,219250,49.5,-119.6,Mayflies
Epeorus suffusus,,219254,46.6167,-70.25,Mayflies
Heptagenia whitingi,,221209,49.5,-119.6,Mayflies
Maccaffertium exiguum,,224267,43.07595,-81.79093,Mayflies
Maccaffertium smithae,,224278,45.953,-66.633,Mayflies
Nixe horrida,,225972,49.5,-119.6,Mayflies
Nixe joernensis,,454872,49.5,-119.6,Mayflies
Raptoheptagenia cruentata,predaceous flat-headed mayfly,211790,51.03,-109.12,Mayflies
Rhithrogena amica,,229908,49.5,-119.6,Mayflies
Rhithrogena brunneotincta,,229910,46.6833,-70.45,Mayflies
Rhithrogena futilis,Western Gordon Quill,229916,68.011111,-139.125,Mayflies
Rhithrogena gaspeensis,,229917,48.78062,-66.07853,Mayflies
Rhithrogena jejuna,,229921,46.45,-70.3,Mayflies
Rhithrogena undulata,,229928,47.357932,-84.637252,Mayflies
Stenacron gildersleevei,Gildersleeve's Stenacron Mayfly,231512,49.5,-119.6,Mayflies
Stenacron minnetonka,,231513,49.5,-119.6,Mayflies
Isonychia campestris,,222356,52.36,-107.18,Mayflies
Isonychia rufa,,222362,49.5,-119.6,Mayflies
Isonychia sayi,,222363,49.5,-119.6,Mayflies
Isonychia sicca,,222365,49.5,-119.6,Mayflies
Homoleptohyphes dimorphus,,221451,48.7167,-64.4,Mayflies
Tricorythodes allectus,,232931,52.0,-72.0,Mayflies
Tricorythodes cobbi,,232932,49.873333,-97.509722,Mayflies
Tricorythodes explicatus,,232934,49.5,-119.6,Mayflies
Tricorythodes mosegus,,232936,54.642,-122.742,Mayflies
Tricorythodes stygiatus,,232938,49.5,-119.6,Mayflies
Choroterpes albiannulata,,216813,49.5,-119.6,Mayflies
Choroterpes basalis,,216814,49.5,-119.6,Mayflies
Habrophlebiodes americana,,220820,46.5833,-70.1333,Mayflies
Leptophlebia bradleyi,,223492,49.5,-119.6,Mayflies
Leptophlebia intermedia,,223494,46.65,-72.96,Mayflies
Leptophlebia johnsoni,Johnson's Pronggill Mayfly,223495,46.45,-70.3,Mayflies
Paraleptophlebia aquilina,,226983,51.22,-80.7,Mayflies
Paraleptophlebia brunneipennis,,226987,49.5,-119.6,Mayflies
Paraleptophlebia gregalis,,226995,49.5,-119.6,Mayflies
Paraleptophlebia guttata,dappled prong-gilled mayfly,226996,47.29,-61.62,Mayflies
Paraleptophlebia moerens,,227003,46.6333,-70.2667,Mayflies
Paraleptophlebia ontario,,227005,45.8347,-73.8778,Mayflies
Paraleptophlebia praepedita,,227008,49.5,-119.6,Mayflies
Paraleptophlebia rufivenosa,,227010,49.5,-119.6,Mayflies
Paraleptophlebia strigula,streaky prong-gilled mayfly,227013,46.6333,-70.3667,Mayflies
Paraleptophlebia vaciva,,227017,51.1,-117.9,Mayflies
Paraleptophlebia volitans,,227018,46.83,-66.33,Mayflies
Traverella albertana,,232799,49.5,-119.6,Mayflies
Metretopus borealis,,225004,49.5,-119.6,Mayflies
Siphloplecton interlineatum,flapless cleft-footed minnow mayfly,231060,46.27263,-83.22642,Mayflies
Neoephemera bicolor,,225611,49.5,-119.6,Mayflies
Lachlania saskatchewanensis,,222577,49.5,-119.6,Mayflies
Anthopotamus verticis,Walker's Tusked Sprawler,123603,49.5,-119.6,Mayflies
Parameletus chelifer,,227039,49.5,-119.6,Mayflies
Parameletus columbiae,,227040,49.5,-119.6,Mayflies
Parameletus midas,,227042,49.5,-119.6,Mayflies
Siphlonisca aerodromia,Tomah Mayfly,211534,49.8911,-77.2558,Mayflies
Siphlonurus autumnalis,,231038,49.5,-119.6,Mayflies
Siphlonurus barbaroides,,231039,46.65,-60.42,Mayflies
Siphlonurus barbarus,,231040,49.5,-119.6,Mayflies
Siphlonurus columbianus,,231041,49.5,-119.6,Mayflies
Siphlonurus demaryi,,231043,49.5,-119.6,Mayflies
Siphlonurus mirus,,231048,46.45,-70.3167,Mayflies
Siphlonurus occidentalis,,231049,49.209,-114.536,Mayflies
Siphlonurus phyllis,,231050,49.5,-119.6,Mayflies
Siphlonurus rapidus,,231052,47.11,-65.38,Mayflies
Siphlonurus securifer,,231053,46.45,-70.3,Mayflies
Siphlonurus spectabilis,,231054,49.5,-119.6,Mayflies
Somatochlora filosa,Fine-lined Emerald,112791,49.5,-119.6,Dragonflies and damselflies
Stylurus plagiatus,Russet-tipped Clubtail,113407,49.5,-119.6,Dragonflies and damselflies
Erythrodiplax umbrata,Band-winged Dragonlet,50342,49.5,-119.6,Dragonflies and damselflies
Allocapnia illinoensis,Illinois Snowfly,212976,45.5132,-78.7209,Stoneflies
Allocapnia indianae,Indiana Snowfly,212977,49.5,-119.6,Stoneflies
Allocapnia nivicola,Brook Snowfly,212986,45.28872,-72.20415,Stoneflies
Arsapnia tumida,Swollen Snowfly,460134,49.5,-119.6,Stoneflies
Capnia confusa,Widespread Snowfly,216026,54.458,-122.722,Stoneflies
Capnia excavata,Saddleback Snowfly,216031,54.270468,-129.487325,Stoneflies
Capnia nearctica,Nearctic Snowfly,216047,49.5,-119.6,Stoneflies
Capnia vernalis,Vernal Snowfly,216071,49.5,-119.6,Stoneflies
Capnura manitoba,Manitoba Snowfly,174529,49.5,-119.6,Stoneflies
Eucapnopsis brevicauda,Shorttailed Snowfly,219616,56.3566,-123.954,Stoneflies
Isocapnia agassizi,Agassiz Snowfly,222320,61.567958,-139.355344,Stoneflies
Isocapnia hyalita,Hyalite Snowfly,222324,49.5,-119.6,Stoneflies
Isocapnia integra,Alberta Snowfly,222325,49.5,-119.6,Stoneflies
Isocapnia spenceri,Chilliwack Snowfly,222329,49.5,-119.6,Stoneflies
Isocapnia vedderensis,Vedder Snowfly,222330,49.5,-119.6,Stoneflies
Mesocapnia autumna,Autumn Snowfly,224926,54.269366,-128.7,Stoneflies
Mesocapnia ogotoruka,Ogotoruk Snowfly,450481,54.283333,-122.633333,Stoneflies
Mesocapnia projecta,Spined Snowfly,224934,49.183333,-123.966667,Stoneflies
Mesocapnia sugluka,Sugluk Snowfly,224935,63.76598,-68.58084,Stoneflies
Mesocapnia variabilis,Variable Snowfly,224936,67.526,-136.53,Stoneflies
Nemocapnia carolina,Southern Snowfly,225547,49.5,-119.6,Stoneflies
Utacapnia distincta,Distinctive Snowfly,233354,49.5,-119.6,Stoneflies
Utacapnia labradora,Labrador Snowfly,233356,49.5,-119.6,Stoneflies
Utacapnia trava,Yellowstone Snowfly,233362,49.5,-119.6,Stoneflies
Alloperla acadiana,Brunswick Sallfly,213030,46.971,-65.853,Stoneflies
Alloperla atlantica,Atlantic Sallfly,213032,47.92279,-84.80491,Stoneflies
Alloperla banksi,Tufted Sallfly,213033,49.5,-119.6,Stoneflies
Alloperla caudata,Ozark Sallfly,213036,49.5,-119.6,Stoneflies
Alloperla chloris,Triangular Sallfly,213038,46.179813,-66.62045,Stoneflies
Alloperla concolor,Duckhead Sallfly,213039,49.5,-119.6,Stoneflies
Alloperla elevata,Pacific Coast Sallfly,213041,52.6894,-131.8941,Stoneflies
Alloperla fraterna,Cascades Sallfly,213042,49.5,-119.6,Stoneflies
Alloperla idei,Vernal Sallfly,213045,45.1606,-72.36872,Stoneflies
Alloperla imbecilla,Ohio Sallfly,213046,49.5,-119.6,Stoneflies
Alloperla leonarda,Truncate Sallfly,213048,49.5,-119.6,Stoneflies
Alloperla medveda,Beartooth Sallfly,213049,60.099998,-128.800003,Stoneflies
Alloperla neglecta,Tennessee Sallfly,213052,47.636605,-57.686572,Stoneflies
Alloperla petasata,Woodlands Sallfly,213054,49.5,-119.6,Stoneflies
Alloperla serrata,Sawtooth Sallfly,213057,49.5,-119.6,Stoneflies
Alloperla voinae,Lawrence Sallfly,213062,46.84,-66.077,Stoneflies
Alloperla vostoki,Scotia Sallfly,213063,49.5,-119.6,Stoneflies
Haploperla chilnualna,Yosemite Sallfly,220915,49.5,-119.6,Stoneflies
Haploperla orpha,Quadrate Sallfly,220918,49.5,-119.6,Stoneflies
Kathroperla perdita,Longhead Sallfly,222488,60.958,-135.184,Stoneflies
Suwallia autumna,Autumn Sallfly,211335,49.5,-119.6,Stoneflies
Suwallia forcipata,Forceps Sallfly,211339,49.05422,-121.98601,Stoneflies
Suwallia lineosa,Lined Sallfly,211334,49.5,-119.6,Stoneflies
Suwallia marginata,York Sallfly,211336,49.5,-119.6,Stoneflies
Suwallia pallidula,Yellow Sallfly,232010,60.578695,-137.217388,Stoneflies
Sweltsa coloradensis,Colorado Sallfly,232023,49.5,-119.6,Stoneflies
Sweltsa exquisita,Exquisite Sallfly,232027,49.5,-119.6,Stoneflies
Sweltsa mediana,Carolina Sallfly,232034,49.5,-119.6,Stoneflies
Sweltsa naica,Northeastern Sallfly,232035,49.5,-119.6,Stoneflies
Sweltsa occidens,Alpine Sallfly,232036,49.5,-119.6,Stoneflies
Sweltsa pacifica,Pacific Sallfly,232039,49.1,-121.966667,Stoneflies
Utaperla sopladora,Black Sallfly,233364,49.5,-119.6,Stoneflies
Leuctra ferruginea,Eastern Needlefly,223588,43.373833,-80.35127,Stoneflies
Leuctra grandis,Grand Needlefly,223589,49.5,-119.6,Stoneflies
Leuctra maria,Northeastern Needlefly,223591,44.6337,-80.6983,Stoneflies
Leuctra sibleyi,Brook Needlefly,223598,49.5,-119.6,Stoneflies
Leuctra tenella,Broad-lobed Needlefly,223600,46.6553,-60.4285,Stoneflies
Leuctra tenuis,Narrow-lobed Needlefly,223601,43.57108,-80.12597,Stoneflies
Leuctra truncata,Truncate Needlefly,223603,48.139,-53.838,Stoneflies
Megaleuctra stigmata,Giant Needlefly,224519,49.5,-119.6,Stoneflies
Paraleuctra alta,Alberta Needlefly,227020,49.5,-119.6,Stoneflies
Paraleuctra forcipata,Bullshorn Needlefly,227022,51.022,-118.207,Stoneflies
Paraleuctra jewetti,Slender Needlefly,227023,49.5,-119.6,Stoneflies
Paraleuctra projecta,Rockies Needlefly,227025,60.724,-135.081,Stoneflies
Paraleuctra vershina,Summit Needlefly,227027,49.5,-119.6,Stoneflies
Perlomyia collaris,Black Needlefly,227510,49.09714,-121.96386,Stoneflies
Perlomyia utahensis,Utah Needlefly,227511,53.124,-117.775,Stoneflies
Zealeuctra claasseni,Common Needlefly,233958,47.916667,-66.016667,Stoneflies
Amphinemura banksi,Rockies Forestfly,213458,49.106,-113.819,Stoneflies
Amphinemura wui,Spiked Forestfly,213467,49.5,-119.6,Stoneflies
Lednia tumana,Meltwater Forestfly,223137,49.5,-119.6,Stoneflies
Malenka californica,California Forestfly,224392,60.7884,-135.1875,Stoneflies
Malenka flexura,Twisted Forestfly,224396,49.5,-119.6,Stoneflies
Nemoura arctica,Arctic Forestfly,225562,49.5,-119.6,Stoneflies
Nemoura sahlbergi,Nearctic Forestfly,1005362,58.7305,-93.7805,Stoneflies
Ostrocerca albidipennis,Whitetailed Forestfly,176216,44.89405,-77.19691,Stoneflies
Ostrocerca complexa,Notched Forestfly,176217,45.59,-64.985,Stoneflies
