taxon_id,Name,Common name,Latitude,Longitude
1105197,Neacomys vargasllosai,Vargas Llosa’s Bristly Mouse,-13.72481,-70.4444
607029,Tupaia hypochrysa,Large Javan Treeshrew,,
43319,Peroryctes broadbentii,Giant Bandicoot,,
43315,Microperoryctes murinus,Mouse Bandicoot,,
74502,Lepilemur wrighti,Wright's Sportive Lemur,-15.67175,49.891379
1596252,Lepus saharae,Lepus saharae,,
1596258,Lophocebus osmani,Lophocebus osmani,,
1596259,Lophocebus opdenboschi,Lophocebus opdenboschi,,
1596100,Orcinus rectipinnus,Orcinus rectipinnus,,
1596101,Orcinus ater,Orcinus ater,,
1596103,Subulo gouazoubira,Gray Brocket,,
1596105,Mazama rufa,Mazama rufa,,
1596106,Bisbalus citus,Bisbalus citus,,
1596107,Eudorcas rufina,Eudorcas rufina,,
1596108,Lontra annectens,Lontra annectens,,
1596110,Conepatus amazonicus,Conepatus amazonicus,,
1596111,Pseudoromicia mbamminkom,Pseudoromicia mbamminkom,,
1596112,Nyctophilus timoriensis,Nyctophilus timoriensis,-8.787138,142.875565
1596113,Neoromicia anchietae,Neoromicia anchietae,6.13247,27.7254
1596114,Lasiurus villosissimus,Lasiurus villosissimus,,
1596116,Neoeptesicus ulapesensis,Neoeptesicus ulapesensis,,
1596117,Neoeptesicus taddeii,Neoeptesicus taddeii,,
1596118,Neoeptesicus orinocensis,Neoeptesicus orinocensis,,
1596119,Neoeptesicus langeri,Neoeptesicus langeri,,
1596120,Neoeptesicus innoxius,Neoeptesicus innoxius,,
1596121,Neoeptesicus furinalis,Neoeptesicus furinalis,,
1596122,Neoeptesicus diminutus,Neoeptesicus diminutus,,
1596123,Neoeptesicus chiriquinus,Neoeptesicus chiriquinus,,
1596124,Neoeptesicus brasiliensis,Neoeptesicus brasiliensis,,
1596125,Eptesicus dutertreus,Eptesicus dutertreus,,
1596126,Cnephaeus tatei,Cnephaeus tatei,,
1596127,Cnephaeus serotinus,Cnephaeus serotinus,,
1596128,Cnephaeus platyops,Cnephaeus platyops,,
1596129,Cnephaeus pachyotis,Cnephaeus pachyotis,,
1596130,Cnephaeus pachyomus,Cnephaeus pachyomus,,
1596131,Cnephaeus ognevi,Cnephaeus ognevi,,
1596132,Cnephaeus nilssonii,Cnephaeus nilssonii,,
1596133,Cnephaeus kobayashii,Cnephaeus kobayashii,,
1596134,Cnephaeus japonensis,Cnephaeus japonensis,,
1596135,Cnephaeus isabellinus,Cnephaeus isabellinus,,
1596136,Cnephaeus hottentotus,Cnephaeus hottentotus,,
1596137,Cnephaeus gobiensis,Cnephaeus gobiensis,,
1596138,Cnephaeus floweri,Cnephaeus floweri,,
1596139,Baeodon gracilis,Baeodon gracilis,,
1596140,Baeodon alleni,Baeodon alleni,,
1596141,Myotis extremus,Myotis extremus,,
1596142,Myotis barquezi,Myotis barquezi,,
1596143,Tomopeas ravum,Tomopeas ravum,-9.260771,-78.43021
1596144,Mops shortridgei,Mops shortridgei,,
1596145,Molossus tropidorhynchus,Molossus tropidorhynchus,,
1596146,Molossus paranaensis,Molossus paranaensis,,
1596147,Molossops griseiventer,Molossops griseiventer,,
1596148,Miniopterus srinii,Miniopterus srinii,,
1596149,Vampyriscus nymphaeus,Vampyriscus nymphaeus,10.819316,-85.4147
1596150,Dermanura gnomus,Dermanura gnomus,4.842757,-52.315065
1596151,Artibeus concolor,Artibeus concolor,2.832718,-60.693349
1596152,Lophostoma evote,Lophostoma evote,,
1596153,Trachops ehrhardti,Trachops ehrhardti,,
1596154,Trachops coffini,Trachops coffini,,
1596155,Rhinolophus smithersi,Rhinolophus smithersi,-14.18875,35.38036
1596156,Rhinolophus septentrionalis,Rhinolophus septentrionalis,,
1596157,Rhinolophus midas,Rhinolophus midas,,
1596158,Rhinolophus mabuensis,Rhinolophus mabuensis,,
1596159,Rhinolophus cohenae,Rhinolophus cohenae,,
1596160,Rhinolophus cervenyi,Rhinolophus cervenyi,,
1596161,Rhinolophus acrotis,Rhinolophus acrotis,,
1596162,Hipposideros swinhoii,Hipposideros swinhoii,,
1596163,Hipposideros kingstonae,Hipposideros kingstonae,,
1596164,Stenonycteris lanosa,Stenonycteris lanosa,-9.987985,33.30325
1596165,Styloctenium mindorense,Styloctenium mindorense,,
1596166,Pteropus vetulus,Pteropus vetulus,-21.530934,166.101836
1596167,Nyctimene sanctacrucis,Nyctimene sanctacrucis,,
1596168,Nyctimene albiventris,Nyctimene albiventris,,
1596169,Nesophontes longirostris,Nesophontes longirostris,,
1596170,Uropsilus huanggangensis,Uropsilus huanggangensis,,
1596172,Soriculus nivatus,Soriculus nivatus,,
1596173,Soriculus minor,Soriculus minor,,
1596174,Soriculus medogensis,Soriculus medogensis,,
1596175,Soriculus beibengensis,Soriculus beibengensis,,
1596176,Cryptotis woodmani,Cryptotis woodmani,,
1596177,Cryptotis huttereri,Cryptotis huttereri,,
1596178,Cryptotis andinus,Cryptotis andinus,,
1596179,Parablarinella latimaxillata,Parablarinella latimaxillata,,
1596181,Crocidura bloyeti,Crocidura bloyeti,,
1596182,Crocidura aequicauda,Crocidura aequicauda,,
1596183,Nannospalax turcicus,Nannospalax turcicus,,
1596184,Nannospalax tuncelicus,Nannospalax tuncelicus,,
1596185,Nannospalax serbicus,Nannospalax serbicus,,
1596186,Nannospalax nehringi,Nannospalax nehringi,,
1596187,Nannospalax monticola,Nannospalax monticola,,
1596188,Nannospalax montanosyrmiensis,Nannospalax montanosyrmiensis,,
1596189,Nannospalax montanoserbicus,Nannospalax montanoserbicus,,
1596190,Nannospalax insularis,Nannospalax insularis,,
1596191,Nannospalax hungaricus,Nannospalax hungaricus,,
1596192,Nannospalax hellenicus,Nannospalax hellenicus,,
1596193,Nannospalax cilicicus,Nannospalax cilicicus,,
1596194,Nannospalax bulgaricus,Nannospalax bulgaricus,,
1596195,Poemys melanotis,Poemys melanotis,,
1596196,Tarsomys orientalis,Tarsomys orientalis,,
1596197,Rattus taliabuensis,Rattus taliabuensis,,
1596198,Rattus ombirah,Rattus ombirah,,
1596199,Rattus halmaheraensis,Rattus halmaheraensis,,
1596200,Rattus feileri,Rattus feileri,,
1596201,Rattus ceramicus,Rattus ceramicus,,
1596202,Micromys pygmaeus,Indochinese harvest mouse,,
1596203,Berylmys latouchei,Berylmys latouchei,,
1596204,Ochromyscus niveiventris,Ochromyscus niveiventris,,
1596205,Myomyscus verreauxi,Myomyscus verreauxi,-34.02105,20.416578
1596206,Pithecheir parva,Pithecheir parva,,
1596207,Vernaya nushanensis,Vernaya nushanensis,,
1596208,Vernaya meiguites,Vernaya meiguites,,
1596209,Vernaya foramena,Vernaya foramena,,
1596210,Uromys neobrittanicus,Uromys neobrittanicus,,
1596211,Pseudomys pilbarensis,Pseudomys pilbarensis,,
1596212,Pseudomys mimulus,Pseudomys mimulus,,
1596213,Hydromys neobrittanicus,Hydromys neobrittanicus,,
1596214,Thomasomys shallqukucha,Thomasomys shallqukucha,,
1596215,Thomasomys pagaibambensis,Thomasomys pagaibambensis,,
1596216,Thomasomys lojapiuranus,Thomasomys lojapiuranus,,
1596217,Rhipidomys ybyrae,Rhipidomys ybyrae,,
1596218,Oligoryzomys gri,Oligoryzomys gri,4.850917,-74.3475
1596220,Cordimus hooijeri,Cordimus hooijeri,12.2,-68.300003
1596221,Ichthyomys orientalis,Ichthyomys orientalis,-1.54693,-74.54873
1596222,Oxymycterus caparaoe,Oxymycterus caparaoe,,
45876,Ctenomys pontifex,San Luis Tuco-tuco,-32.2075,-66.659667
1596223,Reithrodontomys nerterus,Reithrodontomys nerterus,,
1596224,Reithrodontomys australis,Reithrodontomys australis,8.777,-82.448
1596225,Peromyscus avius,Peromyscus avius,,
1596226,Peromyscus angelensis,Peromyscus angelensis,,
1596227,Mictomys borealis,Mictomys borealis,,
1596228,Sicista tianschanica,Sicista tianschanica,42.804,78.492
1596230,Chaetodipus rostratus,Chaetodipus rostratus,,
1596232,Geomys brazensis,Geomys brazensis,,
1596233,Sciurus pachecoi,Sciurus pachecoi,,
1596234,Sciurus nebouxii,Sciurus nebouxii,,
1596235,Microsciurus simonsi,Microsciurus simonsi,,
1596236,Microsciurus similis,Microsciurus similis,,
1596237,Microsciurus sabanillae,Microsciurus sabanillae,,
1596238,Microsciurus otinus,Microsciurus otinus,,
1596239,Microsciurus isthmius,Microsciurus isthmius,,
1596240,Microsciurus boquetensis,Microsciurus boquetensis,,
1596241,Octomys rosiae,Octomys rosiae,,
1596242,Ctenomys verzi,Ctenomys verzi,,
