sequence,taxon_id,Name,Common name,Latitude,Longitude,type locality
2204,97047,Cercosaura steyeri,Cercosaura steyeri,-28.1333,-57.25,"Type locality: “Estancia Iberá, (28º 08’ S y 57º 15’ O)departamento de Mercedes, provincia de Corrientes, Argentina.”

Elevation: 0–100 m (DOAN & LAMAR 2012)."
996,539447,Chalarodon steinkampi,Steinkamp's Iguana,-24.7721,46.4207,"Type locality: 30 km north of Amboasary Sud along the road to Esomony (-24.7721, 46.4207, 160 m elevation."
1467,37232,Chalcides ebneri,Ebner's Cylindrical Skink,34.0245,-5.0047,"Type locality: “Fes, zwischen Bab Guissa und Djebel Zalagh”"
1700,37231,Chalcides levitoni,Leviton's Cylindrical Skink,16.8899,42.5632,"Type locality: Khasawijah, near Jizan, southwest coast of Saudi Arabia."
217,37218,Chalcides pentadactylus,Five-toed Cylindrical Skink,11.183,75.817,"Type locality: ""Kuddle Poondy, a tidal river near Beypore"" (= Kadal Undi, Beypur, 11º 11'N; 75º 49'E, in Kerala State, south-western India), Malabar district"
297,37208,Chalcides thierryi,Thierry's Cylindrical Skink,11.01056,1.540293,"Type locality: Mangu and Jendi, Togoland."
2345,27319,Chamaelycus christyi,Christy's Banded Snake,1.3,27.7,"Type locality: ""Madié (district de l'Ituri), Congo Belge” [=Medje]"
305,27323,Chamaelycus parkeri,Parker's Banded Snake,-2.1537,28.9816,"Type locality: ""Kabulire (dans les forêts situées à l'Ouest du lac Kivu, alt. 1.040 m.),"" [Zaire]."
1183,145997,Chamaesaura tenuior,East African Highland Grass Lizard,0.3476,32.5825,"Type locality: Kampala, Uganda."
2881,1403153,Chelodina ipudinapi,Aramia Snake-necked Turtle,-7.05,142.6,"Type locality: vicinity of Balimo, Aramia River, Western Province, Papua New Guinea."
2563,560417,Chelodina kuchlingi,Kuchling's Snake-necked Turtle,-14.3,126.4667,"Type locality: “said to come from Kalumburu” (14°18'S x 126°28'E). Corrected to Parry Creek, lower Ord River floodplain, Kimberley, Western Australia by Kuchling 2020."
2569,39591,Chelodina pritchardi,Pritchard's Snake-necked Turtle,-9.1333,147.4633,"Type locality: Bore, Kemp Welch River,13 km SE of Kwikila, Central Province, Papua New Guinea."
728,738075,Chersodromus australis,Chersodromus australis,17.07652,-94.06407,"Type locality: San Isidro La Gringa (17°04.591 ́ N, 94°03.844’ W; 350 m asl), Municipality of Santa María Chimalapa, Oaxaca, Mexico"
3025,27312,Chersodromus rubriventris,Redbelly Earth Runner,21.4553,-98.8175,"Type locality: near Xilitla (Xilitla Region) San Luis Potosi, Mexico."
2817,1304824,Chilabothrus ampelophis,Hispaniolan Vine Boa,18.4444,-71.7106,"Type locality: hills of Loma La Trinchera, Paso Sena, 4 km N of Pedernales, Pedernales Province, Dominican Republic"
2547,539455,Chilabothrus argentum,Conception Bank Silver Boa,,,"Type locality: Conception Island Bank, Bahamas (not explicitly given)"
959,738077,Chilabothrus schwartzi,Acklin's Island Boa,22.1464,-74.3277,"Type locality: Delectable Bay, Acklin's Island, Bahama Islands."
