Unobserved Bird,Latitude,Longitude,taxon_id,Common name
Clytorhynchus sanctaecrucis,-11.60708,166.98885,98010,Santa Cruz Shrikebill
Cincloramphus whitneyi,-15.3554,166.7462,980136,Santo Thicketbird
Cincloramphus rubiginosus,-5.8813,150.5233,980137,Rusty Thicketbird
Geokichla camaronensis,0.560008,30.357285,201197,Black-eared Ground-Thrush
Geokichla joiceyi,-3.271905,129.002957,201207,Seram Thrush
Turdus haplochrous,-14.223714,-64.99346,12774,Unicolored Thrush
Gallicolumba platenae,13.398972,120.363464,3133,Mindoro Bleeding-heart
Zoothera atrigena,-5.952322,155.039,367674,Bougainville Thrush
Herpsilochmus parkeri,-5.674825,-77.70393,15779,Ash-throated Antwren
Cyornis nicobaricus,6.984217,93.85069,145038,Nicobar Jungle Flycatcher
Cyornis ruckii,4.059593,98.128085,12859,Rück's Blue Flycatcher
Cinnyris prigoginei,-7.50437,30.087069,145160,Prigogine's Sunbird
Dicaeum nitidum,-11.116518,153.08472,13411,Louisiade Flowerpecker
Arcanator orostruthus,-8.239691,36.031475,145015,Dapple-throat
Columba argentina,2.471311,96.248122,3014,Silvery Wood-Pigeon
Loriculus tener,-4.506972,152.15208,18972,Green-fronted Hanging-Parrot
Dicaeum quadricolor,10.440269,123.81068,13402,Cebu Flowerpecker
Sheppardia lowei,-8.239691,36.031475,13228,Iringa Akalat
Prioniturus verticalis,5.106217,119.863425,18953,Blue-winged Racquet-tail
Ploceus flavipes,3.752407,29.52035,73257,Yellow-legged Weaver
Vidua nigeriae,7.208717,5.20795,73556,Quailfinch Indigobird
Rhipidura louisiadensis,-10.778611,151.773121,1508323,Louisiade Fantail
Metabolus rugensis,7.412577,151.843,8571,Chuuk Monarch
Diglossa venezuelensis,10.211623,-63.57194,9842,Venezuelan Flowerpiercer
Caprimulgus solala,5.941732,37.667263,19477,Nechisar Nightjar
Lorius albidinucha,-3.27523,151.92719,18949,White-naped Lory
Rhipidura ocularis,-9.635639,160.05853,1508383,Guadalcanal Fantail
Eurostopodus exul,-20.731995,164.586035,367505,New Caledonian Nightjar
Chlorocichla prigoginei,2.041841,30.500626,14691,Prigogine's Greenbul
Rhipidura melanolaema,-10.761711,165.8234,1589188,Santa Cruz Fantail
Arborophila sumatrana,-5.071754,104.044624,94501,Sumatran Partridge
Ailuroedus astigmaticus,-6.09272,147.1981,512104,Huon Catbird
Linaria johannis,10.7473,47.2794,558636,Warsangli Linnet
Phylloscartes nigrifrons,5.89751,-61.44625,16940,Black-fronted Tyrannulet
Athene jacquinoti,-8.1707,159.5963,1423492,West Solomons Owl
Puffinus myrtae,-27.700377,-144.1459,472801,Rapa Shearwater
Cryptospiza shelleyi,-1.552373,29.421637,14128,Shelley's Crimsonwing
Lophorina minor,-8.976562,147.73172,558519,Lesser Lophorina
Amaurospiza carrizalensis,8.152754,-62.75898,72491,Carrizal Seedeater
Puffinus bryani,26.973389,142.2621,201029,Bryan's Shearwater
Chenorhamphus campbelli,-5.995271,141.29404,201101,Campbell's Fairywren
Parotia helenae,-8.976562,147.73172,1508398,Eastern Parotia
Rhipidura drownei,-6.3151,155.5307,8150,Bougainville Fantail
Rhipidura malaitae,-8.945782,161.01094,8149,Malaita Fantail
