taxon_id,Name,Common name,Latitude,Longitude
136739,Dacrydium leptophyllum,Dacrydium leptophyllum,-6.059722,143.845
136734,Dacrydium nausoriense,Dacrydium nausoriense,33.789845,-84.372635
136827,Agathis orbicula,Sarawak kauri,3.86667,115.55
136836,Araucaria schmidii,Schmid araucaria,,
136729,Dacrycarpus cinctus,Dacrycarpus cinctus,-1.28,120.30833
135712,Podocarpus archboldii,Podocarpus archboldii,33.789845,-84.372635
1587924,Podocarpus neolinearis,Podocarpus neolinearis,,
445102,Podocarpus gibbsiae,Podocarpus gibbsiae,33.789845,-84.372635
135871,Juniperus komarovii,Komarov's Juniper,32.268129,100.332738
135612,Podocarpus chingianus,Podocarpus chingianus,25.663098,-80.280605
136263,Amentotaxus hatuyenensis,Hà Tuyên catkin-yew,19.33889,105.18111
136251,Agathis flavescens,Malesian kauri,4.64017,102.19633
765382,Pinus arunachalensis,Pinus arunachalensis,,
445101,Podocarpus ekmanii,Podocarpus ekmanii,20.43889,-74.66528
1589302,Cupressus gansuensis,Cupressus gansuensis,,
873598,Picea austropanlanica,Picea austropanlanica,,
136846,Abies ziyuanensis,Ziyuan fir,26.72,114.27
135771,Picea farreri,Farrer's spruce,,
873399,Podocarpus decipiens,Podocarpus decipiens,-16.59333,-179.31778
136261,Amentotaxus assamica,Assam Catkin-Yew,28.166667,96.5
136848,Acmopyle sahniana,Fijian Acmopyle,33.789845,-84.372635
1587130,Cupressus rushforthii,Cupressus rushforthii,,
1596426,Cupressus funebris,Cupressus funebris,14.63121,-90.52943
873424,Podocarpus oblongus,Podocarpus oblongus,-6.194575,134.549901
873420,Podocarpus vanuatuensis,Podocarpus vanuatuensis,-20.21844,169.79622
1588547,Keteleeria weixinensis,Keteleeria weixinensis,,
1588548,Juniperus tairukouensis,Juniperus tairukouensis,,
