taxon_id,Name,Common name,Latitude,Longitude
562284,Cephalaeschna xixiangensis,Cephalaeschna xixiangensis,,
106819,Neoneura jurzitzai,Neoneura jurzitzai,,
197490,Tepuibasis thea,Tepuibasis thea,,
197548,Acanthagrion fluviatile,Acanthagrion fluviatile,3.2655,-59.7245
197606,Telebasis abuna,Telebasis abuna,-3.25,-60
102662,Hetaerina curvicauda,Hetaerina curvicauda,-9.7,-65.38
103467,Iridictyon myersi,Iridictyon myersi,,
197159,Hetaerina erythrokalamus,Hetaerina erythrokalamus,,
93904,Amphicnemis bicolor,Amphicnemis bicolor,,
197358,Roppaneura beckeri,Roppaneura beckeri,,
197419,Epipleoneura solitaria,Epipleoneura solitaria,,
434243,Phaenandrogomphus yunnanensis,Phaenandrogomphus yunnanensis,,
94504,Archaeogomphus hamatus,Archaeogomphus hamatus,-11.93,-71.3
433124,Allocnemis wittei,Allocnemis wittei,-11.23245,23.31061
94678,Asiagomphus odoneli,Asiagomphus odoneli,,
107933,Orolestes durga,Orolestes durga,,
107595,Onychogomphus maculivertex,Onychogomphus maculivertex,,
98226,Coeliccia dorothea,Coeliccia dorothea,,
109394,Phyllogomphoides cepheus,Phyllogomphoides cepheus,,
367887,Progomphus marcelae,Marcela's Sanddragon,19.008733,-103.024267
106999,Neurogomphus wittei,Neurogomphus wittei,,
113399,Stylurus gideon,Stylurus gideon,,
149657,Procordulia asahinai,Procordulia asahinai,,
110622,Progomphus maculatus,Progomphus maculatus,,
110616,Progomphus conjectus,Progomphus conjectus,,
562233,Aeshna frontalis,Aeshna frontalis,,
106932,Nesolestes mariae,Nesolestes mariae,,
106994,Neurogomphus paenuelensis,Neurogomphus paenuelensis,,
108246,Palaiargia optata,Palaiargia optata,-1.342452,127.65241
98248,Coeliccia vacca,Coeliccia vacca,,
562978,Procordulia papandayanensis,Procordulia papandayanensis,,
94654,Arrhenocnemis amphidactylis,Arrhenocnemis amphidactylis,-4.12,139.63
106984,Neurogomphus agilis,Neurogomphus agilis,,
103319,Idionyx nilgiriensis,Idionyx nilgiriensis,,
109369,Phyllocycla baria,Phyllocycla baria,,
100041,Epigomphus compactus,Blune-tipped Knobtail,,
197181,Mnesarete hyalina,Mnesarete hyalina,,
197273,Heteragrion obsoletum,Heteragrion obsoletum,,
197271,Heteragrion palmichale,Heteragrion palmichale,,
197423,Epipleoneura humeralis,Epipleoneura humeralis,-4.099055,-63.153521
197458,Tuberculobasis cardinalis,Tuberculobasis cardinalis,,
197513,Teinopodagrion caquetanum,Teinopodagrion caquetanum,1.48789,-75.7275
563226,Paltothemis nicolae,Spot-winged Rock Skimmer,,
197594,Telebasis erythrina,Telebasis erythrina,-21.815625,-41.293412
197667,Leptobasis raineyi,Leptobasis raineyi,10.6188,-61.1918
197180,Mnesarete marginata,Mnesarete marginata,,
197194,Mnesarete ephippium,Mnesarete ephippium,-12.88,-71.23
113844,Telebasis racenisi,Telebasis racenisi,,
