taxon_id,Name,Common name,Latitude,Longitude
65105,Bokermannohyla langei,Marumbi tree frog,-25.3317,-48.9119
476414,Tepuihyla exophthalma,Big-eyed Slender-legged Tree Frog,5.0595,-60.6145
24223,Tepuihyla aecii,Monte Duida Tree Frog,,
476623,Trachycephalus helioi,Juruti Casque-headed Tree Frog,,
24100,Phyllodytes acuminatus,Alagoas Heart-tongued Frog,,
24103,Phyllodytes brevirostris,Alhandra Heart-tongued Frog,,
66437,Phyllodytes wuchereri,Southern Bahia Heart-tongued Frog,,
1273294,Phrynobatrachus amieti,Phrynobatrachus amieti,,
66418,Phrynobatrachus breviceps,Phrynobatrachus breviceps,-13.063391,34.28186
135028,Agalychnis danieli,Antioquia Leaf Frog,6.75973,-76.3061
70814,Phrynobatrachus hieroglyphicus,Phrynobatrachus hieroglyphicus,,
65051,Arthroleptis nimbaensis,Mount Nimba Screeching Frog,,
517264,Bolitoglossa aurae,Aura's Golden Salamander,9.82,-83.44
26678,Rhinoderma rufum,Chile Darwin's Frog,,
134784,Phrynobatrachus rainerguentheri,Phrynobatrachus rainerguentheri,,
717606,Ptychadena amharensis,Ptychadena amharensis,,
66620,Pristimantis corrugatus,Pristimantis corrugatus,-6.111916,-77.44
787600,Hypogeophis montanus,Mountain Caecilian,,
1595936,Phyllonastes duellmani,Phyllonastes duellmani,,
925338,Mini ature,Mini ature,,
66447,Physalaemus insperatus,Physalaemus insperatus,,
1439591,Mantidactylus augustini,Mantidactylus augustini,-15.392,50.047
1439588,Mantidactylus eulenbergeri,Mantidactylus eulenbergeri,-18.9713,48.4642
604170,Tylototriton anhuiensis,Anhui Knobby Newt,,
476949,Pristimantis conservatio,Conservation Landfrog,8.945278,-70.43166
1484528,Guibemantis pulcherrimus,Guibemantis pulcherrimus,-15.449,49.1119
22753,Eleutherodactylus jasperi,Golden Coqui,18.141372,-66.046965
134778,Pachytriton moi,Mo's Stout Newt,24.998779,113.021858
21866,Boophis miniatus,Boophis miniatus,,
23710,Phrynomedusa appendiculata,Phrynomedusa appendiculata,,
517351,Sclerophrys taiensis,Tai Toad,6.96738,-10.46943
717426,Leptobrachella applebyi,Appleby's Leaf-litter Toad,15.0407,107.8165
1473386,Phrynopus sancristobali,Phrynopus sancristobali,-12.547223,-74.251945
1473392,Litoria gracilis,Litoria gracilis,-5.9018,142.436
1473391,Litoria haematogaster,Litoria haematogaster,-7.1295,143.6134
1473393,Litoria daraiensis,Litoria daraiensis,,
1473400,Guibemantis razandry,Guibemantis razandry,,
1473401,Guibemantis fotsitenda,Guibemantis fotsitenda,,
1473431,Amolops sangzhiensis,Amolops sangzhiensis,,
1473384,Scinax pyroinguinis,Scinax pyroinguinis,,
1473382,Kurixalus pollicaris,Kurixalus pollicaris,,
1473380,Orixalus ananjevae,Orixalus ananjevae,,
517386,Sarcohyla calvicollina,Cerro Pelón Tree Frog,17.0107424,-96.1200247
1473388,Litoria spectabilis,Litoria spectabilis,,
1473389,Litoria naispela,Litoria naispela,,
1473390,Litoria lisae,Litoria lisae,-6.4619,143.256
1473394,Litoria beryllinus,Litoria beryllinus,,
1473387,Phrynopus apumantarum,Phrynopus apumantarum,,
