ORIGIN_Latitude,ORIGIN_Longitude,DEST_Latitude,DEST_Longitude,cumsum_proportion
35.9303068318,-81.5258331299,35.6613984289,-78.4412725527,1
35.9303068318,-81.5258331299,38.9962296747,-84.6271867398,1
28.2614711674,-105.4755638188,25.4219783333,-100.9654066667,1
19.8080844287,-101.6970595036,21.3809397738,-101.6388368068,1
39.1856,-74.85228,38.9404640198,-74.9619216919,1
45.4256616907,-93.199936375,42.1568214,-80.117559,1
19.8080844287,-101.6970595036,21.0031578242,-101.7468266751,1
-36.0697706965,174.6235738308,-34.7381666358,173.1169625746,1
37.4625378396,-117.2327742294,43.1217138401,141.3587092717,1
42.616380881,-80.4561353469,44.2250828577,-79.969121296,1
37.4625378396,-117.2327742294,43.0742137075,141.3414936681,1
42.616380881,-80.4561353469,41.8840504267,-87.7804280081,1
-36.92134,174.705448,-37.9641279543,176.9865585682,1
35.9303068318,-81.5258331299,36.052368111,-79.024286382,1
-46.5167209612,168.3018663818,-45.2537068453,169.3912359624,1
41.11424082,-75.59646957,43.71630226,-79.9688566226,1
32.6721484259,-97.2421954126,41.2065403018,-80.6723001457,1
44.0877642531,-80.2455133333,43.6008305256,-80.2449200232,1
44.4392356,-67.8934024,41.6846193458,-72.257737989,1
44.2117521954,-72.3249928058,32.5302992872,-97.3221079884,1
42.3767666667,-72.7019888889,47.1933033333,-116.3712383333,1
44.2117521954,-72.3249928058,41.4217199282,-73.9485129929,1
-46.5167209612,168.3018663818,-45.8835194357,170.4030126492,1
39.8298394659,-74.9919549934,43.0343467827,-76.1367906258,1
44.2117521954,-72.3249928058,40.909631,-81.470799,1
44.2117521954,-72.3249928058,36.6967820799,-95.8486107602,1
44.2117521954,-72.3249928058,49.0395,-118.2050944444,1
-46.5167209612,168.3018663818,-45.2535941557,169.3907614876,1
44.5388919589,-68.7182006836,45.412125,-75.6767966667,1
41.11424082,-75.59646957,34.7449222,-86.50340214,1
41.11424082,-75.59646957,40.8010094738,-77.8668525356,1
33.126612,-97.109358,30.3127716136,-97.6984861137,1
37.87277,-121.9197083333,37.9169998169,-121.945930481,1
41.11424082,-75.59646957,38.9153116667,-77.0609888333,1
41.11424082,-75.59646957,42.0372055,-74.3744133333,1
41.11424082,-75.59646957,40.1902883333,-75.4075083333,1
-46.5167209612,168.3018663818,-45.2114110699,169.2033579293,1
38.9608304565,-77.2560085099,32.8365633333,-116.9189383333,1
39.1493424,-84.60362136,41.8370957533,-87.9042507895,1
37.87277,-121.9197083333,37.9187760177,-121.9431447007,1
41.11424082,-75.59646957,44.4770433389,-73.1835748008,1
46.7428130507,-84.342123075,45.3367687,-75.4659632,1
34.1898946446,-118.2453891778,33.6541579848,-118.2243934184,1
37.07078846,-76.33132799,37.3746597834,-80.5225437272,1
-46.5167209612,168.3018663818,-43.4381330118,172.6700391146,1
32.527924,-94.793278249,29.7422201559,-95.429176027,1
41.11424082,-75.59646957,42.1544999443,-86.3856436406,1
20.487868,-105.448179,20.7393251372,-103.3891041654,1
41.1950283333,-71.56523,41.9605032068,-74.124980685,1
45.4256616907,-93.199936375,44.6716443694,-108.9128931086,1
-27.2928882,-65.8627795,-34.6081059,-58.3509217,1
41.11424082,-75.59646957,42.3269081692,-71.1739534572,1
42.616380881,-80.4561353469,42.6708335876,-83.0191650391,1
-46.5167209612,168.3018663818,-45.2538921538,169.391213907,1
-46.5167209612,168.3018663818,-38.6778305906,176.0617403661,1
29.63668,-99.18269,30.1913883333,-97.7300416667,1
20.487868,-105.448179,20.7055397536,-103.3937113535,1
41.11424082,-75.59646957,42.1221305794,-71.2107857034,1
39.5613448145,-113.6429519579,50.9700093,-114.086095,1
42.616380881,-80.4561353469,42.6704225312,-80.4031204302,1
36.361876,-120.761318,34.2179312759,-118.8606103909,1
39.5613448145,-113.6429519579,50.9747244097,-114.1009476107,1
-31.6371283333,152.8291666667,-38.1244093299,147.0731772037,1
42.616380881,-80.4561353469,41.3991494,-82.049713,1
32.527924,-94.793278249,29.8677319,-98.7217582,1
30.1904531554,-97.7530817315,30.2350241906,-97.6433925358,1
13.2642870539,-80.1281294086,43.6458204012,-80.2778311065,1
41.11424082,-75.59646957,44.0056058472,-83.0552140861,1
43.0651240899,-86.1014994826,44.9027328491,-85.832359314,1
37.8521539714,-88.0397744567,1.5483,30.2514,1
38.9608304565,-77.2560085099,36.7316410976,-76.4415077165,1
41.11424082,-75.59646957,37.28309316,-76.7759589,1
-18.9863427576,146.2859909794,-19.3352124349,146.757757061,1
37.8521539714,-88.0397744567,1.5483,30.2514,1
61.0050354004,-135.2019195557,60.66503,-135.0292666667,1
32.527924,-94.793278249,32.8030708314,-95.452103234,1
-18.9863427576,146.2859909794,-19.3355263483,146.7569712741,1
34.4462114298,-87.5319391615,34.6770409216,-86.314747911,1
37.8521539714,-88.0397744567,1.5483,30.2514,1
49.2869567871,-122.9783305556,49.7775723253,-123.1158017367,1
-18.9863427576,146.2859909794,-19.3371102769,146.7574004803,1
37.8521539714,-88.0397744567,1.5483,30.2514,1
20.487868,-105.448179,20.5840547933,-103.9858625709,1
41.11424082,-75.59646957,38.8441673,-76.8971364,1
41.77187,-93.720955,41.8131103262,-91.6776985064,1
49.8560492778,-97.1371015428,48.3792108376,-64.59698069,1
41.11424082,-75.59646957,28.4564992,-81.7212648,1
25.6323261261,-100.276184082,25.6180820465,-100.3604278564,1
-30.288594,-178.4537,-34.7381666358,173.1169625746,1
45.0225144743,-79.3240184114,44.49473242,-78.4372417,1
33.0816528333,-97.6260598951,32.862262,-105.605328,1
41.11424082,-75.59646957,46.8224252754,-54.1837174082,1
43.0651240899,-86.1014994826,42.9630622864,-85.6180877686,1
30.3918162967,-88.7921533333,42.4323016667,-71.10697,1
37.76,-122.4477005,39.767895,-121.4303366667,1
41.77187,-93.720955,40.74876791,-93.74017874,1
-37.7308383333,144.873,-38.171978,145.181091,1
33.0816528333,-97.6260598951,32.0335960388,-102.0704421997,1
37.8521539714,-88.0397744567,-8.6142583,115.2570869,1
41.11424082,-75.59646957,42.3248803618,-71.1731396274,1
32.527924,-94.793278249,30.2135113148,-97.7971124396,1
33.0816528333,-97.6260598951,32.862262,-105.605328,1
33.0816528333,-97.6260598951,32.862262,-105.605328,1
32.527924,-94.793278249,30.2133898472,-97.7970701403,1
51.3024,-57.1423138889,60.3621305732,-137.0646917259,1
41.11424082,-75.59646957,42.44048703,-71.11908978,1
33.0816528333,-97.6260598951,32.3044365,-106.5938616,1
18.01512914,-97.65874174,18.9018883333,-98.4356033333,1
41.11424082,-75.59646957,32.3384780833,-106.5855636389,1
44.9724535716,-93.1128752926,45.426225,-95.52375,1
-41.0670476508,145.9440602042,-31.6574549087,138.6188884257,1
35.7826363,-80.8872959,40.33370146,-75.75875649,1
-27.2928882,-65.8627795,-1.1925272979,-75.7687082915,1
39.1951680585,-94.6805799651,39.19471121,-94.67898981,1
41.77187,-93.720955,42.00870076,-91.5741626,1
32.527924,-94.793278249,29.699514,-95.492596,1
-30.288594,-178.4537,-34.7381666358,173.1169625746,1
43.3825861,-80.3577521,44.1864739,-77.3982903,1
39.4726143882,-88.1480576914,39.4826283333,-88.17553,1
45.3834968658,-80.3577850531,42.9137588647,-79.1969599816,1
-37.7308383333,144.873,-38.1396211684,145.8645755253,1
37.87277,-121.9197083333,37.9044105692,-121.950303319,1
33.0816528333,-97.6260598951,31.4855423263,-110.331765505,1
39.1951680585,-94.6805799651,39.1934799291,-94.6735126933,1
45.3834968658,-80.3577850531,45.4407071415,-78.8195955288,1
-33.4062391791,-70.6239463761,-36.540688,-72.934118,1
-33.4062391791,-70.6239463761,-33.4950550469,-70.4737943038,1
32.527924,-94.793278249,32.3140236797,-95.2531849195,1
32.527924,-94.793278249,29.830231702,-98.4464899351,1
23.856388092,-106.7050018311,18.7696848812,-100.4667970076,1
-33.4062391791,-70.6239463761,-31.88081,-71.495311,1
44.8101429881,-123.560701876,44.2007333333,-72.4883116667,1
42.4006767273,-70.7947313413,42.0836378843,-71.1983397993,1
-41.0670476508,145.9440602042,-41.4545196,145.9706647,1
44.8101429881,-123.560701876,36.0606205,-79.1171084,1
-41.0670476508,145.9440602042,-37.7215065274,144.9126683223,1
41.9474277588,-73.2624212896,41.257725,-72.0267194444,1
41.9474277588,-73.2624212896,41.257725,-72.0267194444,1
23.18373802,120.3127765001,22.933277132,120.301252894,1
29.63668,-99.18269,30.1854292434,-97.8716095309,1
-31.6371283333,152.8291666667,-21.824015658,114.1824219986,1
44.8101429881,-123.560701876,39.0059666667,-76.9422916667,1
41.11424082,-75.59646957,47.315655,-122.40795999,1
37.76,-122.4477005,38.9264566667,-123.727355,1
41.9474277588,-73.2624212896,44.4363245974,-75.8847043424,1
41.9474277588,-73.2624212896,44.4363245974,-75.8847043424,1
41.11424082,-75.59646957,39.3535379165,-82.0401997325,1
-34.4129995,-58.9162874,-31.7015283333,-64.6292883333,1
41.9474277588,-73.2624212896,44.4363245974,-75.8847043424,1
32.527924,-94.793278249,30.2897615717,-97.7390269462,1
46.5115148505,-84.3535971457,43.63195859,-79.33079059,1
44.8101429881,-123.560701876,44.60264461,-69.33076971,1
34.1898946446,-118.2453891778,33.73243417,-117.81042225,1
39.2522239685,-76.712348938,40.73031,-111.847676,1
37.07078846,-76.33132799,37.3027042624,-80.4852714469,1
43.5548633333,-80.2238083333,42.0836378843,-71.1983397993,1
32.527924,-94.793278249,30.2859423543,-97.7339103074,1
38.4710159302,-76.8785934448,38.75754,-77.098453,1
23.856388092,-106.7050018311,23.6559735095,-106.7012786865,1
20.487868,-105.448179,20.6557174688,-103.3605690399,1
32.6721484259,-97.2421954126,44.2669829111,-72.57459662,1
41.11424082,-75.59646957,48.7488476327,-87.8737781313,1
33.126612,-97.109358,30.1903825717,-97.6131624054,1
41.11424082,-75.59646957,35.9780878518,-118.5961220338,1
39.2522239685,-76.712348938,40.771973,-111.821011,1
32.6721484259,-97.2421954126,36.0971305,-79.8824083333,1
39.4795444444,-88.174125,39.4934416667,-88.1769633333,1
41.11424082,-75.59646957,34.0527665383,-79.0029153787,1
44.4495489775,-68.994552217,47.0773310273,-70.7824813852,1
32.527924,-94.793278249,30.0307604957,-97.8361451338,1
48.3258855185,-123.6576126516,48.4605057034,-123.3243952165,1
41.9474277588,-73.2624212896,43.640853675,-80.4326006877,1
45.0225144743,-79.3240184114,43.1097212758,-79.2648107732,1
40.0140316791,-76.2716446848,44.7650615825,-86.074623149,1
32.527924,-94.793278249,32.4885540828,-96.9652208873,1
41.9474277588,-73.2624212896,44.2797616667,-76.2215016667,1
44.6292484513,-124.0655367449,45.4197694444,-61.3917777778,1
44.6292484513,-124.0655367449,45.01139445,-66.9406366667,1
41.9474277588,-73.2624212896,42.042352094,-83.0349509418,1
41.11424082,-75.59646957,39.0164680481,-76.8251342773,1
32.527924,-94.793278249,29.74101137,-95.42729346,1
48.3258855185,-123.6576126516,49.234055,-123.9774866667,1
23.856388092,-106.7050018311,30.9893749444,-112.9680416667,1
41.11424082,-75.59646957,23.6221619944,-109.9138222523,1
41.2273236252,-81.7190967176,45.463026,-64.774323,1
41.11424082,-75.59646957,40.800944916,-77.8668642417,1
38.4710159302,-76.8785934448,36.0601471667,-86.6944283333,1
44.6292484513,-124.0655367449,32.067658383,-116.8814730171,1
20.5226389,-98.7456794456,25.6134505033,-103.4199674794,1
38.4710159302,-76.8785934448,36.1567736297,-86.726145627,1
64.8752047164,-147.8199977081,63.5205321676,-149.9308478195,1
32.527924,-94.793278249,32.650186345,-96.9660405536,1
35.402607,-120.723968,38.5764163611,-123.3392363889,1
32.6721484259,-97.2421954126,40.678325347,-99.2545647199,1
44.4495489775,-68.994552217,44.1924830838,-69.3163506874,1
23.856388092,-106.7050018311,20.8468231602,-89.610120613,1
44.6292484513,-124.0655367449,31.8070633333,-116.610895,1
39.2229594977,-107.7812425406,39.629202678,-104.8502535644,1
41.191506453,-73.631566955,40.9902033333,-73.8703216667,1
32.527924,-94.793278249,33.1666771649,-97.1302370076,1
30.1903825717,-97.6257416261,22.877361,-99.417529,1
32.6721484259,-97.2421954126,37.5378011337,-84.2922264985,1
51.3024,-57.1423138889,60.8173397222,-137.7438730556,1
32.527924,-94.793278249,32.7206533333,-97.1426166667,1
39.0863,-76.8045,32.53431,-98.5614216667,1
34.1356721667,-81.1592945373,45.0524957012,-79.3364642937,1
23.856388092,-106.7050018311,17.07468,-93.221995,1
34.1898946446,-118.2453891778,34.2008436285,-118.1675402542,1
39.0863,-76.8045,31.3227598795,-89.2121845756,1
41.11424082,-75.59646957,45.2685585022,-75.8086166382,1
35.991945,-79.454523491,38.0175666667,-122.64332,1
32.527924,-94.793278249,29.7408635868,-95.4268515577,1
32.7842366667,-79.9893416667,33.5069505346,-79.063533052,1
44.8101429881,-123.560701876,38.5627833333,-78.38382,1
41.11424082,-75.59646957,39.4678806124,-88.149276115,1
41.9474277588,-73.2624212896,44.3157583333,-78.310045,1
20.487868,-105.448179,20.51474813,-103.23105546,1
44.8101429881,-123.560701876,39.6518466667,-75.0844805,1
20.6872652,-99.8047963,21.1874906779,-99.4847293731,1
37.87277,-121.9197083333,37.906147781,-121.9497044085,1
39.2522239685,-76.712348938,47.6571817,-122.2873154,1
26.8571533809,128.2545287512,10.621383667,103.2943954468,1
29.650908727,-82.369796922,31.3227272034,-89.2126159668,1
-33.4062391791,-70.6239463761,-29.9660484187,-71.3539788194,1
39.080665907,-84.1045093549,43.0343467827,-76.1367906258,1
44.8101429881,-123.560701876,41.4886366667,-90.43148,1
34.1898946446,-118.2453891778,33.76258,-118.3100883333,1
20.487868,-105.448179,20.52250807,-103.22749488,1
20.6872652,-99.8047963,20.5329216776,-100.3425319825,1
41.9474277588,-73.2624212896,44.0153371,-73.16734,1
44.8101429881,-123.560701876,35.604725,-83.869255,1
44.8101429881,-123.560701876,43.1827604035,-80.6579022871,1
41.3627193333,-71.9392147778,41.3025994739,-72.2465184611,1
32.527924,-94.793278249,32.9321436351,-96.4496724029,1
44.8101429881,-123.560701876,39.1544776088,-76.7080456596,1
-33.4062391791,-70.6239463761,-29.9660572099,-71.3539699667,1
33.126612,-97.109358,29.4065491433,-100.905674224,1
-33.4062391791,-70.6239463761,-29.9660434228,-71.3539334858,1
43.3825861,-80.3577521,44.3017569917,-80.1745539487,1
39.2522239685,-76.712348938,32.8074429604,-117.2654460558,1
32.527924,-94.793278249,30.3473276834,-97.7743637189,1
41.11424082,-75.59646957,45.1579069253,-87.1944506095,1
20.6428769126,-101.33870494,19.6735879358,-101.2003676846,1
32.6721484259,-97.2421954126,40.8773423173,-124.0750435834,1
32.527924,-94.793278249,29.7195916667,-95.3916383333,1
19.6453042355,-155.3214239858,23.6376939572,-106.3622217794,1
29.6370449066,-82.3685760498,32.96185,-105.8568416667,1
19.8939520459,-99.3471725327,19.0397,-102.6727,1
32.6721484259,-97.2421954126,30.2555561066,-90.9561080933,1
44.8101429881,-123.560701876,40.51423127,-86.11933741,1
44.8101429881,-123.560701876,39.947969974,-82.8000597217,1
20.487868,-105.448179,19.8158055556,-104.2120527778,1
29.650908727,-82.369796922,16.503339,-94.998358,1
44.6292484513,-124.0655367449,4.0130816667,9.2026633333,1
44.8101429881,-123.560701876,41.2535018921,-89.0055770874,1
37.76,-122.4477005,38.3003633609,-122.4637109601,1
44.8101429881,-123.560701876,45.11309062,-78.79622584,1
42.3767666667,-72.7019888889,44.4770433389,-73.1835748008,1
44.8101429881,-123.560701876,37.6778450012,-97.9530258179,1
29.650908727,-82.369796922,41.916050599,-80.1530214586,1
-33.7631653801,-70.63044807,-34.0409513889,-71.5902613889,1
40.24878,-75.3366166667,42.4273438326,-71.1191028305,1
44.6292484513,-124.0655367449,21.0406061,-89.6266961,1
