latitude,longitude
60.8992136328,27.1142721578
30.3043280801,-97.694222011
49.2894138889,-124.6596305556
21.28073363,-157.8357117133
29.8592333696,-95.1622890738
42.31974947,-83.71233361
33.78873,-78.742425
42.95627595,-81.38633608
54.1726254611,-2.8345607556
40.8241424561,-77.0198516846
37.0733111667,-122.0066833333
41.6348283333,-90.363655
38.9048916667,-77.2646033333
20.0013397097,-97.707192488
45.114246,19.6729302
41.655555,-87.0394138333
30.6072018479,-103.9258117676
41.6283751184,-90.3864222976
48.7690415903,-123.4520712837
21.2753055556,-157.8250305556
48.646258563,2.3265731411
48.6723942655,2.3869925847
31.65422904,-106.1982824765
26.7828899167,-80.0414801561
26.7828897951,-80.0414265119
26.7828801565,-80.0413809143
26.7828813233,-80.0413111769
-33.9512056844,18.4292630106
56.5200684977,36.8280145025
-37.7328128687,144.9740564967
-25.5132237997,-49.187178
38.90395,-77.26503
-31.6779582157,-60.7528921589
41.6365055556,-90.3570027778
-20.6395866507,32.023894228
26.0060002032,-80.2677145326
20.9913716667,-89.6278616667
41.6341318734,-90.4170935332
16.736949276,-92.636917904
45.1425301872,29.6827767942
49.2894138889,-124.6596305556
37.327275,-121.9423133333
41.6348283333,-90.363655
35.7498955523,-78.7560441322
39.0871306012,-77.5266606326
40.1308847283,-84.4307252604
40.1408859809,-84.4342737886
33.7979883333,-117.9378666667
30.6072018479,-103.9258117676
37.25008657,-77.15680661
26.6486778072,-80.1998779544
31.5216916667,-97.1459361667
18.988625,-99.196305
28.60274288,-81.19648834
43.0071778187,-81.2747618812
29.6406322487,-82.2681390019
37.2641748726,-121.9040601013
48.7753738175,-123.3682125066
37.4754219055,-122.1703643799
32.4491,-94.606802
29.6406726305,-82.2681771938
-25.956184,27.3307719722
41.5295791626,-83.6357803345
29.6648520215,-95.4587430811
47.21347197,-122.47953386
55.7779655278,32.8936538611
19.9414728387,-99.6393009648
49.7473625999,30.1598853618
-1.136107,100.366877
42.7367551944,-71.4845796389
41.5975061,-90.3462215
49.2900277778,-124.6603833333
39.4174833333,-105.0698305
41.5262641,-90.5072573
42.7190480989,-73.7521119219
24.2183497135,55.6866237894
28.2836996667,-105.4830820486
6.087222,-75.567032
29.640828705,-82.2682834876
19.1258513797,-104.3442509219
47.69655935,-122.21284434
41.6931280222,-90.2048352631
18.4898127198,-66.3949991336
32.6323129576,13.3893346041
50.0542232034,-125.2340480795
41.6357916667,-90.3625633333
18.2755793056,-90.91911155
37.24995131,-77.15691003
41.635345,-90.3638616667
25.7966866667,-80.2572783333
16.7378209867,-92.629339993
20.4074883333,-99.3556133333
37.2527769046,-121.821357317
37.4703636169,-122.1926803589
35.0818572144,-101.84317452
41.6348283333,-90.3636583333
17.6620164651,-97.2495015106
17.656596197,-97.2560614659
17.6682921903,-97.2511720235
37.5423464123,-78.0025739595
17.6491302,-97.2402363736
17.6789729135,-97.2634992916
19.395433,-103.75748015
45.1404308228,29.6789237119
19.1898765564,72.9493637085
44.5699694419,-123.264038732
29.6050778034,-98.3897340987
29.6407441396,-82.2682997919
44.79327,-76.691375
36.0675124501,-94.2323126943
46.9613,16.1508
45.1295480859,10.0507441163
49.0721527778,-125.7599055556
55.79894,21.06731
32.8952777778,-97.3586111111
-18.300788162,24.109740529
